Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
13093835;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;39;;;47201;724694.99;992901.09;2013-12-04T00:00:00
13093843;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;40;;;47201;724962.48;992960.13;2013-12-04T00:00:00
13093851;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;41;;;47201;724930.48;992935.34;2013-12-04T00:00:00
13093860;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;42;;;47201;724832.25;992877.34;2013-12-04T00:00:00
13093878;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;45;;;47201;725028.75;993024.80;2013-12-04T00:00:00
13093886;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;47;;;47201;726883.84;993531.87;2013-12-04T00:00:00
13093894;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;48;;;47201;725255.87;993046.54;2013-12-04T00:00:00
13093908;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;49;;;47201;725225.46;993057.75;2013-12-04T00:00:00
13093916;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;51;;;47201;725283.71;993063.33;2013-12-04T00:00:00
13093924;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;53;;;47201;725112.49;993062.92;2013-12-04T00:00:00
13093932;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;54;;;47201;725361.27;993288.54;2013-12-04T00:00:00
13093941;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;55;;;47201;724929.43;993011.71;2013-12-04T00:00:00
13093959;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;57;;;47201;725272.16;993238.04;2013-12-04T00:00:00
13093967;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;58;;;47201;725462.12;993254.77;2013-12-04T00:00:00
13093975;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;59;;;47201;724782.12;992852.96;2013-12-04T00:00:00
13093983;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;60;;;47201;724778.34;992860.52;2013-12-04T00:00:00
13093991;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;61;;;47201;725304.23;993011.35;2013-12-04T00:00:00
13094009;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;1;;;47201;724665.38;992916.67;2013-12-04T00:00:00
13094017;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;2;;;47201;724744.73;992887.06;2013-12-04T00:00:00
13094025;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;3;;;47201;724728.73;992860.53;2022-10-27T00:00:00
13094033;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;4;;;47201;724888.36;992917.50;2013-12-04T00:00:00
13094041;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;5;;;47201;725316.57;992945.03;2013-12-04T00:00:00
13094050;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;6;;;47201;725366.86;992971.36;2013-12-04T00:00:00
13094076;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;8;;;47201;725376.00;993023.22;2013-12-04T00:00:00
13094084;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;9;;;47201;725379.65;993038.16;2013-12-04T00:00:00
13094092;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;10;;;47201;725325.48;992936.35;2013-12-04T00:00:00
13094106;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;11;;;47201;725315.23;993090.59;2013-12-04T00:00:00
13094114;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;10;;;47201;725263.92;993161.03;2013-12-04T00:00:00
13094122;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;13;;;47201;725574.32;993362.56;2022-10-27T00:00:00
13094131;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;14;;;47201;724868.09;993007.32;2013-12-04T00:00:00
13094149;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;15;;;47201;724873.82;992902.76;2013-12-04T00:00:00
26426722;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;20;;;47201;725404.16;993351.09;2013-12-04T00:00:00
26450356;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;17;;;47201;725372.05;993263.39;2013-12-04T00:00:00
26481171;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;44;;;47201;725024.41;992987.75;2013-12-04T00:00:00
40152707;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;38;;;47201;724633.62;992953.65;2016-04-06T00:00:00
78409365;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;12;;;47201;725388.80;993195.83;2018-06-06T00:00:00
78852170;562238;Vrchovany;;;;;186490;Vrchovany;;;è.ev.;16;;;47201;725592.03;993365.10;2018-11-12T00:00:00
86047540;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;62;;;47201;725245.80;993309.94;2024-03-05T00:00:00
87139693;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;64;;;47201;725347.35;993099.91;2025-06-25T00:00:00
87181029;562238;Vrchovany;;;;;186490;Vrchovany;;;è.p.;63;;;47201;725224.63;993318.02;2025-07-16T00:00:00
